seller_id,total_items_sold,total_product_revenue,total_freight_revenue,avg_item_price,avg_freight_value,avg_review_score,n_unique_orders,n_unique_products,top_category,total_revenue,seller_state,seller_city
0015a82c2db000af6aaaf3ae2ecb0532,3,2685.0,63.06,895.0,21.02,3.6666666666666665,3,1,small_appliances,2748.06,SP,santo andre
001cca7ae9ae17fb1caed9dfb1094831,234,24487.03,8655.87,104.64542735042734,36.99089743589744,3.965367965367965,195,11,garden_tools,33142.9,ES,cariacica
002100f778ceb8431b7a1020ff7ab48f,54,1216.6,778.56,22.52962962962963,14.417777777777777,4.037037037037037,50,24,furniture_decor,1995.1599999999999,SP,franca
003554e2dce176b5555353e4f3555ac8,1,120.0,19.38,120.0,19.38,5.0,1,1,Unknown / Uncategorized,139.38,GO,goiania
004c9cd9d87a3c30c522c48c4fc07416,168,19569.73,3524.29,116.48648809523809,20.977916666666665,4.13855421686747,156,87,bed_bath_table,23094.02,SP,ibitinga
00720abe85ba0859807595bbf045a33b,26,1007.5,315.98,38.75,12.153076923076924,3.6538461538461537,13,9,housewares,1323.48,SP,guarulhos
00ab3eff1b5192e5f1a63bcecfee11c8,1,98.0,12.08,98.0,12.08,5.0,1,1,health_beauty,110.08,SP,sao paulo
00d8b143d12632bad99c0ad66ad52825,1,86.0,51.1,86.0,51.1,5.0,1,1,fashion_bags_accessories,137.1,MG,belo horizonte
00ee68308b45bc5e2660cd833c3f81cc,172,20260.0,3180.66,117.79069767441861,18.49220930232558,4.3274853801169595,135,23,bed_bath_table,23440.66,SP,sao paulo
00fc707aaaad2d31347cf883cd2dfe10,135,12684.9,2285.09,93.96222222222222,16.926592592592595,3.791044776119403,103,19,computers_accessories,14969.99,PR,maringa
010543a62bd80aa422851e79a3bc7540,2,1416.0,31.950000000000003,708.0,15.975000000000001,4.5,2,1,computers_accessories,1447.95,SP,sao paulo
010da0602d7774602cd1b3f5fb7b709e,5,849.5,230.25,169.9,46.05,1.0,1,1,kitchen_dining_laundry_garden_furniture,1079.75,SP,sao bernardo do campo
011b0eaba87386a2ae96a7d32bb531d1,2,99.98,29.18,49.99,14.59,4.0,1,1,health_beauty,129.16,SP,pompeia
01266d4c46afa519678d16a8b683d325,3,90.25,47.230000000000004,30.083333333333332,15.743333333333334,5.0,3,3,costruction_tools_tools,137.48000000000002,PR,curitiba
013900e863eace745d3ec7614cab5b1a,26,1619.7,469.67,62.29615384615385,18.064230769230768,4.730769230769231,23,19,fashion_shoes,2089.37,PR,curitiba
014c0679dd340a0e338872e7ec85666a,15,7058.0,628.3100000000001,470.53333333333336,41.88733333333334,3.6666666666666665,14,10,kitchen_dining_laundry_garden_furniture,7686.31,MG,timoteo
014d9a685fd57276679edd00e07089e5,12,729.88,146.93,60.82333333333333,12.244166666666667,3.8333333333333335,11,3,stationery,876.81,PR,maringa
0176f73cc1195f367f7b32db1e5b3aa8,38,4643.2,1272.07,122.18947368421053,33.47552631578947,4.052631578947368,37,18,bed_bath_table,5915.2699999999995,SP,ibitinga
01bcc9d254a0143f0ce9791b960b2a47,10,1393.21,251.48,139.321,25.148,4.4,10,3,health_beauty,1644.69,GO,uruacu
01c97ebb5cdac52891c0ed1c37ba0012,12,577.5,178.5,48.125,14.875,4.083333333333333,9,3,computers_accessories,756.0,SP,catanduva
